Created Date,Created Date
2010-01,528
2010-02,425
2010-03,831
2010-04,912
2010-05,1066
2010-06,1161
2010-07,1289
2010-08,1321
2010-09,1040
2010-10,875
2010-11,651
2010-12,435
2011-01,459
2011-02,563
2011-03,825
2011-04,977
2011-05,1126
2011-06,1250
2011-07,1041
2011-08,1131
2011-09,1084
2011-10,835
2011-11,595
2011-12,568
2012-01,669
2012-02,589
2012-03,791
2012-04,798
2012-05,1143
2012-06,1076
2012-07,1177
2012-08,1269
2012-09,1024
2012-10,899
2012-11,568
2012-12,640
2013-01,729
2013-02,640
2013-03,838
2013-04,1001
2013-05,1159
2013-06,1137
2013-07,1217
2013-08,1105
2013-09,981
2013-10,855
2013-11,569
2013-12,508
2014-01,521
2014-02,541
2014-03,782
2014-04,990
2014-05,1236
2014-06,1411
2014-07,1397
2014-08,1415
2014-09,1304
2014-10,1417
2014-11,856
2014-12,747
2015-01,728
2015-02,608
2015-03,1002
2015-04,1247
2015-05,1497
2015-06,1550
2015-07,1907
2015-08,1550
2015-09,1613
2015-10,1501
2015-11,1089
2015-12,994
2016-01,944
2016-02,1044
2016-03,1261
2016-04,1284
2016-05,1813
2016-06,1840
2016-07,1769
2016-08,1854
2016-09,1775
2016-10,1524
2016-11,1121
2016-12,1001
2017-01,1158
2017-02,1494
2017-03,1406
2017-04,1688
2017-05,1739
2017-06,1882
2017-07,2199
2017-08,2011
2017-09,1711
2017-10,1756
2017-11,1169
2017-12,939
2018-01,965
2018-02,1058
2018-03,1087
2018-04,1397
2018-05,1889
2018-06,1869
2018-07,1827
2018-08,1910
2018-09,1690
2018-10,1688
2018-11,1050
2018-12,923
2019-01,1020
2019-02,956
2019-03,1126
2019-04,1510
2019-05,1863
2019-06,1822
2019-07,1824
2019-08,1862
2019-09,1640
2019-10,1405
2019-11,980
2019-12,800
2020-01,1066
2020-02,1031
2020-03,968
2020-04,949
2020-05,1667
2020-06,1661
2020-07,1788
2020-08,1834
2020-09,1672
2020-10,1552
2020-11,1108
2020-12,966
2021-01,1250
2021-02,962
2021-03,1832
2021-04,2101
2021-05,2320
2021-06,2638
2021-07,2676
2021-08,2521
2021-09,2301
2021-10,2698
2021-11,1980
2021-12,1733
2022-01,1575
2022-02,1574
2022-03,2162
2022-04,2162
2022-05,2767
2022-06,3019
2022-07,2971
2022-08,2889
2022-09,2438
2022-10,1988
2022-11,1616
2022-12,1339
2023-01,1939
2023-02,1707
2023-03,1894
2023-04,2225
2023-05,2350
2023-06,1812
